ome,Coe
10.0,2.0362191811349535e-05
12.589254117941673,2.2846754982370503e-05
15.848931924611136,2.5634480711135027e-05
19.952623149688797,2.8762360424341218e-05
25.118864315095802,3.2271899185395294e-05
31.622776601683796,3.620966644138602e-05
39.810717055349734,4.0627913971353626e-05
50.11872336272724,4.5585269235651356e-05
63.095734448019336,5.114751332672436e-05
79.43282347242815,5.7388453844240353e-05
100.0,6.439090427709412e-05
125.89254117941675,7.224778288809082e-05
158.48931924611142,8.106334568283954e-05
199.526231496888,9.095456982360536e-05
251.1886431509581,0.0001020527058451817
316.2277660168379,0.00011450501926974368
398.1071705534973,0.0001284767447308544
501.1872336272725,0.0001441532785366612
630.9573444801933,0.00016174263876626494
794.3282347242816,0.00018147822554324548
1000.0,0.00020362191811349538
1258.9254117941675,0.0002284675498237051
1584.8931924611143,0.0002563448071113506
1995.2623149688807,0.00028762360424341256
2511.8864315095825,0.0003227189918539536
3162.2776601683795,0.0003620966644138609
3981.0717055349733,0.00040627913971353735
5011.872336272725,0.000455852692356515
6309.573444801937,0.0005114751332672463
7943.282347242822,0.0005738845384424074
10000.0,0.0006439090427709468
12589.254117941675,0.0007224778288809168
15848.93192461114,0.0008106334568284087
19952.62314968881,0.000909545698236074
25118.86431509582,0.001020527058451849
31622.776601683796,0.0011450501926974865
39810.717055349734,0.0012847674473086207
50118.72336272725,0.0014415327853667316
63095.734448019364,0.0016174263876628373
79432.82347242822,0.0018147822554327483
100000.0,0.002036219181135413
125892.54117941688,0.0022846754982377717
158489.3192461114,0.0025634480711146357
199526.2314968879,0.0028762360424359015
251188.64315095823,0.0032271899185423317
316227.7660168379,0.003620966644143012
398107.17055349774,0.004062791397142312
501187.23362727254,0.004558526923576086
630957.3444801943,0.005114751332689714
794328.234724282,0.005738845384451296
1000000.0,0.006439090427752453
1258925.4117941689,0.00722477828887707
1584893.1924611141,0.008106334568391368
1995262.314968883,0.009095456982530321
2511886.431509582,0.010205270584786597
3162277.660168379,0.011450501927398868
3981071.7055349774,0.012847674473756922
5011872.336272725,0.014415327854728491
6309573.444801942,0.016174263878307657
7943282.347242822,0.018147822556985316
10000000.0,0.020362191815561356
12589254.117941687,0.022846754989038473
15848931.924611142,0.02563448072169267
19952623.14968883,0.02876236044105933
25118864.315095823,0.03227189921187098
31622776.601683795,0.036209666483317915
39810717.055349775,0.04062791403776991
50118723.36272725,0.045585269340855716
63095734.44801942,0.05114751349337971
79432823.47242822,0.05738845410825485
100000000.0,0.06439090469536446
125892541.17941687,0.07224778355077248
158489319.24611142,0.08106334673279111
199526231.49688828,0.09095457148720323
251188643.15095824,0.10205270848115212
316227766.0168379,0.11450502344655078
398107170.55349773,0.12847675134934183
501187233.6272725,0.14415328902441238
630957344.4801943,0.16174265538562535
794328234.7242821,0.18147825187947667
1000000000.0,0.2036219598484111
1258925411.794166,0.2284676159617475
1584893192.4611175,0.25634491192271575
1995262314.9688828,0.28762377034358855
2511886431.509582,0.32271925508431526
3162277660.16838,0.36209708157667875
3981071705.534969,0.40627980083085025
5011872336.272735,0.45585374009873225
6309573444.801943,0.5114767937448469
7943282347.242822,0.5738871700067592
10000000000.0,0.6439132133574212
12589254117.941662,0.7224844385882888
15848931924.611172,0.8106439321928866
19952623149.688828,0.9095623001340927
25118864315.09582,1.0205533700941476
31622776601.683792,1.1450918930538363
39810717055.34985,1.2848335369229449
50118723362.727356,1.4416375291947305
63095734448.019424,1.6175923943887613
79432823472.42822,1.815045358156755
100000000000.0,2.0366361734337413
125892541179.41713,2.285336396572446
158489319246.11172,2.5644955530260596
199526231496.88828,2.877896262086013
251188643150.95822,3.229821364245965
316227766016.8379,3.6251376131778676
398107170553.49854,4.069402876657855
501187233627.2735,4.56900754905081
630957344480.1942,5.131366836318924
794328234724.2822,5.765190068215662
1000000000000.0,6.480868403200258
1258925411794.1714,7.291046825089315
1584893192461.1172,8.211486231208376
1995262314968.8828,9.26238699857533
2511886431509.582,10.470454687050545
3162277660168.3794,11.872173667350298
3981071705534.9854,13.519074401474995
5011872336272.735,15.486345231153546
6309573444801.943,17.887158450734123
7943282347242.821,20.896938360471065
10000000000000.0,24.79512413507606
12589254117941.715,30.037262604068538
15848931924611.174,37.37418760720983
19952623149688.83,48.00667884053513
25118864315095.82,63.50965033176971
31622776601683.793,83.86265799705669
39810717055349.85,98.57845297807175
50118723362727.35,83.03448983863068
63095734448019.42,45.793306944277035
79432823472428.22,18.71760476141942
100000000000000.0,5.67463252194914
125892541179417.12,0.42616363177369443
158489319246111.75,1.2609931054774375
199526231496888.28,1.4845770626050285
251188643150958.2,1.2140236852268793
316227766016837.94,0.8591707142401291
398107170553498.5,0.5625043917081678
501187233627273.5,0.35164151447328806
630957344480194.2,0.21397366682265312
794328234724282.2,0.1286259302385633
1000000000000000.0,0.07753913033784128
1258925411794171.5,0.04779902677980853
1584893192461117.5,0.03099500965549212
1995262314968882.8,0.021953593610573655
2511886431509582.0,0.017566125471158583
3162277660168379.5,0.015641315573242866
3981071705534985.5,0.01394782054675105
5011872336272735.0,0.011646149800196999
6309573444801942.0,0.009514137607126662
7943282347242821.0,0.007709598649218351
